lat=43 47.41010 N, lon=069 58.15869 W, hms=122243, dmy=040821, t1=17.816800, c1=4.112300, s=31.094300, sigma=22.328100
lat=43 47.40784 N, lon=069 58.16065 W, hms=122244, dmy=040821, t1=17.816800, c1=4.112290, s=31.094200, sigma=22.328100
lat=43 47.40334 N, lon=069 58.16429 W, hms=122246, dmy=040821, t1=17.816200, c1=4.112280, s=31.094600, sigma=22.328600
lat=43 47.40106 N, lon=069 58.16609 W, hms=122247, dmy=040821, t1=17.813800, c1=4.112270, s=31.096300, sigma=22.330400
lat=43 47.39645 N, lon=069 58.16965 W, hms=122249, dmy=040821, t1=17.807200, c1=4.112250, s=31.101300, sigma=22.335900
lat=43 47.39413 N, lon=069 58.17143 W, hms=122250, dmy=040821, t1=17.800200, c1=4.112160, s=31.105800, sigma=22.341100
lat=43 47.39180 N, lon=069 58.17326 W, hms=122251, dmy=040821, t1=17.797600, c1=4.112050, s=31.106800, sigma=22.342400
lat=43 47.38715 N, lon=069 58.17699 W, hms=122253, dmy=040821, t1=17.799900, c1=4.111980, s=31.104500, sigma=22.340000
lat=43 47.38485 N, lon=069 58.17883 W, hms=122254, dmy=040821, t1=17.799700, c1=4.111820, s=31.103300, sigma=22.339200
lat=43 47.38254 N, lon=069 58.18067 W, hms=122255, dmy=040821, t1=17.797800, c1=4.111650, s=31.103300, sigma=22.339700
lat=43 47.37792 N, lon=069 58.18436 W, hms=122257, dmy=040821, t1=17.796100, c1=4.111470, s=31.103100, sigma=22.339800
lat=43 47.37560 N, lon=069 58.18622 W, hms=122258, dmy=040821, t1=17.792200, c1=4.111190, s=31.103700, sigma=22.341200
lat=43 47.37090 N, lon=069 58.19000 W, hms=122300, dmy=040821, t1=17.788200, c1=4.111060, s=31.105600, sigma=22.343700
lat=43 47.36858 N, lon=069 58.19183 W, hms=122301, dmy=040821, t1=17.783700, c1=4.111000, s=31.108600, sigma=22.347000
lat=43 47.36620 N, lon=069 58.19356 W, hms=122302, dmy=040821, t1=17.787100, c1=4.110860, s=31.104800, sigma=22.343300
lat=43 47.36150 N, lon=069 58.19714 W, hms=122304, dmy=040821, t1=17.780800, c1=4.110680, s=31.108100, sigma=22.347400
lat=43 47.35915 N, lon=069 58.19894 W, hms=122305, dmy=040821, t1=17.771000, c1=4.110560, s=31.114500, sigma=22.354600
lat=43 47.35680 N, lon=069 58.20075 W, hms=122306, dmy=040821, t1=17.771900, c1=4.110430, s=31.112800, sigma=22.353200
lat=43 47.35210 N, lon=069 58.20434 W, hms=122308, dmy=040821, t1=17.766500, c1=4.110120, s=31.114300, sigma=22.355500
lat=43 47.34975 N, lon=069 58.20617 W, hms=122309, dmy=040821, t1=17.764100, c1=4.109750, s=31.112900, sigma=22.355100
lat=43 47.34738 N, lon=069 58.20799 W, hms=122310, dmy=040821, t1=17.761600, c1=4.109570, s=31.113300, sigma=22.356000
lat=43 47.34259 N, lon=069 58.21153 W, hms=122312, dmy=040821, t1=17.761600, c1=4.109170, s=31.109900, sigma=22.353400
lat=43 47.34018 N, lon=069 58.21334 W, hms=122313, dmy=040821, t1=17.758100, c1=4.109030, s=31.111500, sigma=22.355300
lat=43 47.33526 N, lon=069 58.21687 W, hms=122315, dmy=040821, t1=17.757200, c1=4.108770, s=31.110000, sigma=22.354500
