Sensor 0052 - site1
Site 1
date [EST]	lu 412 [uW/cm^2/nm/sr]	lu 442 [uW/cm^2/nm/sr]	lu 490 [uW/cm^2/nm/sr]	lu 510 [uW/cm^2/nm/sr]	lu 555 [uW/cm^2/nm/sr]	lu 664 [uW/cm^2/nm/sr]	lu 669 [uW/cm^2/nm/sr]
2014-05-21 20:30:00	-0.002329	-0.002636	-0.002403	-0.002531	-0.003473	-0.004674	-0.004753
2014-05-21 21:00:00	-0.002379	-0.002828	-0.00248	-0.002722	-0.003675	-0.004908	-0.004791
2014-05-21 21:30:00	-0.002142	-0.002618	-0.002358	-0.002483	-0.003390	-0.004749	-0.004888
2014-05-21 22:00:00	-0.002161	-0.002573	-0.002541	-0.002474	-0.003427	-0.004858	-0.004529
2014-05-21 22:30:00	-0.002119	-0.002518	-0.002391	-0.002544	-0.003557	-0.004758	-0.004591
2014-05-21 23:00:00	-0.002239	-0.002686	-0.002427	-0.002420	-0.003407	-0.004813	-0.004630
2014-05-21 23:30:00	-0.002345	-0.002650	-0.002445	-0.002488	-0.003328	-0.004923	-0.004788
2014-05-22 00:00:00	-0.002469	-0.002995	-0.002427	-0.002607	-0.003647	-0.004953	-0.004980
2014-05-22 00:30:00	-0.002488	-0.002805	-0.002411	-0.002689	-0.003705	-0.005197	-0.004894
2014-05-22 01:00:00	-0.002340	-0.002555	-0.002275	-0.002510	-0.003316	-0.004743	-0.004814
2014-05-22 01:30:00	-0.002423	-0.002799	-0.002512	-0.002656	-0.003613	-0.004973	-0.005021
2014-05-22 02:00:00	-0.002236	-0.002673	-0.002381	-0.002646	-0.003674	-0.004616	-0.004670
2014-05-22 02:30:00	-0.002205	-0.00260	-0.002529	-0.002705	-0.003720	-0.005050	-0.004933
2014-05-22 03:00:00	-0.002226	-0.002706	-0.002373	-0.002492	-0.003474	-0.004755	-0.004761
2014-05-22 03:30:00	-0.002249	-0.002736	-0.002361	-0.002553	-0.003507	-0.004745	-0.004636
2014-05-22 04:00:00	-0.002115	-0.002494	-0.001640	-0.001620	-0.002242	-0.004724	-0.004642
2014-05-22 04:30:00	-0.001591	-0.000902	0.004443	0.005949	0.009515	-0.003060	-0.002824
2014-05-22 05:00:00	-0.001122	0.001297	0.012518	0.017001	0.028304	-0.000590	-0.000564
2014-05-22 05:30:00	-0.000619	0.002566	0.017744	0.024464	0.042774	0.001396	0.001217
2014-05-22 06:00:00	-0.000268	0.003039	0.018012	0.024180	0.041075	0.001462	0.001350
2014-05-22 06:30:00	-0.000204	0.003156	0.017849	0.024396	0.042426	0.000667	0.000922
2014-05-22 07:00:00	0.002601	0.010903	0.046352	0.062725	0.109536	0.010738	0.010629
2014-05-22 07:30:00	0.005794	0.018551	0.069398	0.093006	0.162659	0.020922	0.021126
2014-05-22 08:00:00	0.006335	0.020519	0.077695	0.106738	0.193194	0.026122	0.026652
2014-05-22 08:30:00	0.005800	0.019144	0.072119	0.100753	0.187937	0.025320	0.025512
2014-05-22 09:00:00	0.006067	0.019548	0.073270	0.102538	0.187102	0.024811	0.025240
2014-05-22 09:30:00	0.008139	0.025184	0.093607	0.131616	0.240554	0.033094	0.033148
2014-05-22 10:00:00	0.008447	0.025553	0.092622	0.129196	0.231788	0.031302	0.031303
2014-05-22 10:30:00	0.015171	0.043304	0.150635	0.206348	0.356320	0.051822	0.051280
2014-05-22 11:00:00	0.019624	0.054621	0.191336	0.259777	0.445777	0.063817	0.062421
2014-05-22 11:30:00	0.035879	0.100988	0.362570	0.491126	0.863018	0.12654	0.122315
2014-05-22 12:00:00	0.016566	0.045523	0.150670	0.203301	0.342836	0.046757	0.046203
2014-05-22 12:30:00	0.031364	0.093498	0.363233	0.500763	0.917029	0.113855	0.108867
2014-05-22 13:00:00	0.016987	0.049273	0.18020	0.248833	0.439186	0.058510	0.057677
2014-05-22 13:30:00	0.009937	0.028527	0.100015	0.133512	0.223913	0.029297	0.028756
2014-05-22 14:00:00	0.012409	0.035706	0.132425	0.179716	0.317602	0.040803	0.040859
2014-05-22 14:30:00	0.009574	0.027739	0.099997	0.133183	0.223658	0.029110	0.028747
2014-05-22 15:00:00	0.002061	0.010929	0.052133	0.073558	0.133092	0.013292	0.013633
2014-05-22 15:30:00	0.004514	0.017584	0.080421	0.112901	0.207183	0.027315	0.027312
2014-05-22 16:00:00	0.000871	0.007842	0.042491	0.060133	0.110423	0.011261	0.011201
2014-05-22 16:30:00	-0.000959	0.002573	0.020689	0.030057	0.055978	0.003553	0.003812
2014-05-22 17:00:00	-0.000426	0.004879	0.034502	0.051082	0.100360	0.010590	0.010645
2014-05-22 17:30:00	-0.001492	0.001381	0.016906	0.024925	0.047002	0.002370	0.002299
2014-05-22 18:00:00	-0.001707	-0.000510	0.007263	0.010554	0.018775	-0.002244	-0.002181
2014-05-22 18:30:00	-0.002040	-0.001747	0.001721	0.002561	0.004046	-0.004074	-0.003960
2014-05-23 19:00:00	-0.002181	-0.002480	-0.001900	-0.001973	-0.002722	-0.004652	-0.004530
2014-05-23 19:30:00	-0.002465	-0.002786	-0.002518	-0.002671	-0.003628	-0.005065	-0.004851
2014-05-23 20:00:00	-0.002153	-0.002754	-0.002474	-0.002792	-0.003745	-0.005106	-0.004802
2014-05-23 20:30:00	-0.002189	-0.002712	-0.002339	-0.002541	-0.003581	-0.004896	-0.004738
2014-05-23 21:00:00	-0.002380	-0.002929	-0.002483	-0.002564	-0.003554	-0.005034	-0.005000
2014-05-23 21:30:00	-0.002315	-0.002563	-0.002403	-0.002487	-0.003368	-0.004801	-0.004752
2014-05-23 22:00:00	-0.002554	-0.002681	-0.002449	-0.002676	-0.003544	-0.004857	-0.005111
2014-05-23 22:30:00	-0.002498	-0.002648	-0.002485	-0.002572	-0.003630	-0.005218	-0.005079
2014-05-23 23:00:00	-0.002450	-0.002764	-0.002566	-0.002651	-0.003579	-0.004933	-0.004880
2014-05-23 23:30:00	-0.002411	-0.002798	-0.002523	-0.002635	-0.003447	-0.005231	-0.005028
2014-05-24 00:00:00	-0.002447	-0.002907	-0.002589	-0.002578	-0.003496	-0.005326	-0.005084
2014-05-24 00:30:00	-0.002291	-0.002522	-0.002375	-0.002559	-0.003469	-0.004679	-0.004889
2014-05-24 01:00:00	-0.002192	-0.002691	-0.002521	-0.002607	-0.003456	-0.004736	-0.004583
2014-05-24 01:30:00	-0.002316	-0.002730	-0.002545	-0.002632	-0.003670	-0.004929	-0.005075
2014-05-24 02:00:00	-0.002499	-0.002844	-0.002518	-0.002722	-0.003601	-0.005101	-0.005127
2014-05-24 02:30:00	-0.002203	-0.002646	-0.002458	-0.002399	-0.003279	-0.004731	-0.004881
2014-05-24 03:00:00	-0.002327	-0.00278	-0.002467	-0.002682	-0.003665	-0.004908	-0.005029
2014-05-24 03:30:00	-0.00217	-0.002642	-0.002355	-0.002448	-0.003547	-0.004633	-0.004727
2014-05-24 04:00:00	-0.002256	-0.002730	-0.001945	-0.001921	-0.002838	-0.004785	-0.004678
2014-05-24 04:30:00	-0.002024	-0.001771	0.002163	0.003878	0.006893	-0.003354	-0.003277
2014-05-24 05:00:00	-0.001725	-0.000414	0.008037	0.011969	0.021290	-0.001356	-0.001118
2014-05-24 05:30:00	-0.001430	0.000401	0.012551	0.018354	0.033864	0.000430	0.000659
2014-05-24 06:00:00	-0.001358	0.001293	0.017513	0.025797	0.048641	0.002434	0.002314
2014-05-24 06:30:00	0.000332	0.006621	0.040772	0.059077	0.113368	0.013396	0.013277
2014-05-24 07:00:00	0.000888	0.008871	0.049918	0.071752	0.135562	0.017210	0.017318
2014-05-24 07:30:00	0.003856	0.016728	0.078899	0.111315	0.202220	0.029766	0.029326
2014-05-24 08:00:00	0.006858	0.025754	0.107809	0.149825	0.271544	0.043578	0.043521
2014-05-24 08:30:00	0.012074	0.039714	0.147514	0.200700	0.347827	0.063244	0.062721
2014-05-24 09:00:00	0.019064	0.060544	0.224461	0.305855	0.541245	0.098323	0.097173
2014-05-24 09:30:00	0.012276	0.040506	0.156887	0.217562	0.397409	0.062695	0.061986
2014-05-24 10:00:00	0.007629	0.028040	0.114080	0.16195	0.302247	0.043212	0.043165
2014-05-24 10:30:00	0.006411	0.022591	0.087677	0.123187	0.223896	0.032916	0.033154
2014-05-24 11:00:00	0.010465	0.037995	0.161891	0.23470	0.455849	0.058605	0.057817
2014-05-24 11:30:00	0.006329	0.022618	0.087886	0.124279	0.224447	0.032088	0.032233
2014-05-24 12:00:00	0.002436	0.011856	0.051805	0.073820	0.134761	0.016618	0.016455
2014-05-24 12:30:00	-0.000223	0.003573	0.022324	0.032579	0.059911	0.003733	0.003454
2014-05-24 13:00:00	0.006167	0.021783	0.087102	0.120825	0.205258	0.028049	0.027053
2014-05-24 13:30:00	0.001708	0.009866	0.046385	0.065831	0.115217	0.012033	0.011706
2014-05-24 14:00:00	0.018712	0.057846	0.212909	0.291662	0.489806	0.079992	0.078250
2014-05-24 14:30:00	0.011873	0.043259	0.202936	0.293679	0.545343	0.065021	0.062077
2014-05-24 15:00:00	0.023182	0.071977	0.265916	0.364027	0.618869	0.104899	0.101765
2014-05-24 15:30:00	0.017446	0.055455	0.211279	0.289540	0.487745	0.082115	0.080578
2014-05-24 16:00:00	0.011476	0.039015	0.156267	0.217028	0.382500	0.065892	0.065049
2014-05-24 16:30:00	0.006054	0.023666	0.104331	0.147643	0.268108	0.044673	0.044446
2014-05-24 17:00:00	-0.000597	0.003899	0.026159	0.037620	0.067080	0.006002	0.005998
2014-05-24 17:30:00	-0.001558	0.000333	0.011321	0.016448	0.028610	0.000082	0.000018
2014-05-24 18:00:00	-0.001939	-0.001068	0.00534	0.008237	0.015880	-0.001297	-0.001434
2014-05-24 18:30:00	-0.002316	-0.002041	0.000128	0.001018	0.002144	-0.004143	-0.004137
2014-05-25 19:00:00	-0.002165	-0.002420	-0.000856	-0.000789	-0.001223	-0.004795	-0.004671
2014-05-25 19:30:00	-0.002393	-0.002957	-0.002554	-0.002604	-0.003487	-0.004986	-0.005075
2014-05-25 20:00:00	-0.002382	-0.002742	-0.002508	-0.002762	-0.003636	-0.005007	-0.004872
2014-05-25 20:30:00	-0.002429	-0.002650	-0.002471	-0.002711	-0.003888	-0.005057	-0.004823
2014-05-25 21:00:00	-0.002463	-0.002753	-0.002546	-0.002593	-0.003529	-0.004868	-0.005073
2014-05-25 21:30:00	-0.002435	-0.002840	-0.002692	-0.002657	-0.003432	-0.005010	-0.005029
2014-05-25 22:00:00	-0.002504	-0.002805	-0.002499	-0.002598	-0.003612	-0.004933	-0.005134
2014-05-25 22:30:00	-0.002167	-0.002743	-0.002401	-0.002521	-0.003535	-0.004758	-0.004607
2014-05-25 23:00:00	-0.002289	-0.002901	-0.002613	-0.002646	-0.003683	-0.004892	-0.004913
2014-05-25 23:30:00	-0.002362	-0.002815	-0.002495	-0.002791	-0.003525	-0.005038	-0.004758
2014-05-26 00:00:00	-0.002368	-0.002910	-0.002496	-0.002708	-0.003529	-0.004957	-0.005062
2014-05-26 00:30:00	-0.002403	-0.002724	-0.002556	-0.002772	-0.003600	-0.004844	-0.005272
