Sensor 0052 - site1
Site 1
date [EST]	es 412 [uW/cm^2/nm]	es 442 [uW/cm^2/nm]	es 490 [uW/cm^2/nm]	es 510 [uW/cm^2/nm]	es 555 [uW/cm^2/nm]	es 664 [uW/cm^2/nm]	es 669 [uW/cm^2/nm]
2015-04-25 04:00:00	0.012522	-0.01924	0.005074	-0.010577	-0.004832	0.018778	-0.020698
2015-04-25 05:00:00	2.888252	3.232782	3.703735	3.916362	3.797881	6.369192	4.636798
2015-04-25 06:00:00	14.381925	16.539458	18.404631	17.42141	16.021352	14.555953	14.838399
2015-04-25 07:00:00	42.257941	48.529873	54.185957	51.656324	48.800558	42.195804	42.998904
2015-04-25 08:00:00	83.901019	98.208371	111.420722	107.440988	103.304515	89.951546	91.89965
2015-04-25 09:00:00	61.44398	69.192013	75.248374	71.978525	68.190066	57.108795	58.080578
2015-04-25 10:00:00	63.49824	71.646116	77.930909	74.585107	71.008603	59.311778	60.132136
2015-04-25 11:00:00	115.60762	132.843626	145.75883	140.736502	134.73842	114.204474	115.569143
2015-04-25 12:00:00	101.63194	115.938743	126.957192	122.153801	116.492572	97.668268	98.765709
2015-04-25 13:00:00	46.372687	52.228554	56.761549	54.934096	51.624262	42.415543	41.886953
2015-04-25 14:00:00	39.324203	44.06551	47.724979	45.723544	43.007594	35.327466	35.874702
2015-04-25 15:00:00	24.085086	26.979276	29.138055	27.856949	26.07268	21.57728	21.892695
2015-04-25 16:00:00	17.318178	19.32121	20.758053	19.714085	18.296911	15.374019	15.638305
2015-04-25 17:00:00	5.496457	6.076502	6.470752	6.049351	5.474831	4.691159	4.768539
2015-04-25 18:00:00	1.94905	2.114749	2.166711	1.928165	1.558316	1.417956	1.443372
2015-04-25 19:00:00	0.015094	-0.008675	0.008374	-0.005246	-1.58E-4	0.017214	-0.012274
2015-04-25 20:00:00	0.009231	-0.014666	0.001749	-0.009803	-0.001323	0.014006	-0.016593
2015-04-25 21:00:00	0.008194	-0.015486	9.56E-4	-0.010467	-0.001488	0.014424	-0.016896
2015-04-25 22:00:00	0.009608	-0.016505	0.002794	-0.011216	-0.002921	0.014847	-0.017327
2015-04-25 23:00:00	0.009257	-0.017357	0.0025	-0.010515	-0.003506	0.015783	-0.017055
2015-04-26 00:00:00	0.00993	-0.017908	0.002903	-0.01145	-0.003226	0.015155	1.4354
2015-04-26 01:00:00	0.009858	-0.016999	0.003152	-0.011268	-0.003356	0.015305	-0.019135
2015-04-26 02:00:00	0.010479	-0.018884	0.003133	-0.011061	-0.003748	0.016928	-0.020047
2015-04-26 03:00:00	0.010166	-0.01923	0.003011	-0.011609	-0.003881	0.01663	-0.019076
2015-04-26 04:00:00	0.01339	-0.016179	0.005914	-0.009157	-0.002465	0.018065	-0.018548
2015-04-26 05:00:00	2.532869	2.873875	3.170949	2.948133	2.532642	2.921686	2.742631
